id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,article,world,World news,2025-03-16T09:34:27Z,‘We are all Natasha’: senator’s sexual harassment claims roil Nigeria,https://www.theguardian.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,https://content.guardianapis.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,False,pillar/news,News
world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,article,world,World news,2025-02-25T11:28:44Z,Activists call for state of emergency in Nigeria over gender-based violence,https://www.theguardian.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,https://content.guardianapis.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,False,pillar/news,News
world/2025/apr/19/cameroon-exiles-nigeria-trapped-refugees,article,world,World news,2025-04-19T16:00:43Z,"‘I love my country but nobody is safe’: the plight of Cameroon’s exiles, trapped in Nigeria ",https://www.theguardian.com/world/2025/apr/19/cameroon-exiles-nigeria-trapped-refugees,https://content.guardianapis.com/world/2025/apr/19/cameroon-exiles-nigeria-trapped-refugees,False,pillar/news,News
world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,article,world,World news,2025-02-16T12:00:11Z,Brother of British national held in Nigeria says UK has ‘turned its back’,https://www.theguardian.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,https://content.guardianapis.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,False,pillar/news,News
world/2025/jan/25/united-airlines-nigeria-washington-dc,article,business,Business,2025-01-25T23:13:00Z,At least six people seriously injured on flight from Nigeria to Washington DC,https://www.theguardian.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,https://content.guardianapis.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,False,pillar/news,News
culture/2025/apr/22/actors-guild-of-nigeria-calls-for-better-regulation-after-death-of-two-actors,article,film,Film,2025-04-22T16:21:55Z,‘The devil wants this pattern of mass death repeated’: Actors Guild of Nigeria calls for better regulation after two actors die,https://www.theguardian.com/culture/2025/apr/22/actors-guild-of-nigeria-calls-for-better-regulation-after-death-of-two-actors,https://content.guardianapis.com/culture/2025/apr/22/actors-guild-of-nigeria-calls-for-better-regulation-after-death-of-two-actors,False,pillar/arts,Arts
global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,article,global-development,Global development,2025-01-13T10:00:07Z,"‘I was crying, there was no anaesthesia’: the fight for legal and safe abortion in Nigeria",https://www.theguardian.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,https://content.guardianapis.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,False,pillar/news,News
world/2025/apr/01/niger-junta-withdraws-from-lake-chad-anti-islamist-force,article,world,World news,2025-04-01T07:12:06Z,Niger’s junta withdraws from Lake Chad anti-Islamist force,https://www.theguardian.com/world/2025/apr/01/niger-junta-withdraws-from-lake-chad-anti-islamist-force,https://content.guardianapis.com/world/2025/apr/01/niger-junta-withdraws-from-lake-chad-anti-islamist-force,False,pillar/news,News
global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,article,global-development,Global development,2025-02-05T10:00:34Z,Flies in hospital wards may be spreading drug-resistant bacteria to patients,https://www.theguardian.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,https://content.guardianapis.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,False,pillar/news,News
world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,article,world,World news,2025-02-04T12:57:31Z,‘There is nothing here’: the island left behind by Lagos’s economic boom,https://www.theguardian.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,https://content.guardianapis.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,False,pillar/news,News
